34.69118,-1.966135|34.70118,-1.956135
35.595414,-5.337389|35.605413999999996,-5.327389
35.595414,-5.327389|35.605413999999996,-5.317389
30.359562,-9.426185|30.368562,-9.417185
30.359562,-9.417185|30.368562,-9.408185
30.359562,-9.408185|30.368562,-9.399185
30.368562,-9.417185|30.377562,-9.408185
35.158602,-6.158914|35.165602,-6.1519140000000005
35.158602,-6.1519140000000005|35.165602,-6.144914000000001
35.158602,-6.144914000000001|35.165602,-6.137914000000001
35.158602,-6.137914000000001|35.165602,-6.1309140000000015
35.165602,-6.165914|35.172602,-6.158914
35.165602,-6.158914|35.172602,-6.1519140000000005
35.165602,-6.1519140000000005|35.172602,-6.144914000000001
35.165602,-6.144914000000001|35.172602,-6.137914000000001
35.165602,-6.137914000000001|35.172602,-6.1309140000000015
35.172602,-6.165914|35.179601999999996,-6.158914
35.172602,-6.158914|35.179601999999996,-6.1519140000000005
35.172602,-6.1519140000000005|35.179601999999996,-6.144914000000001
35.172602,-6.144914000000001|35.179601999999996,-6.137914000000001
35.172602,-6.137914000000001|35.179601999999996,-6.1309140000000015
35.179601999999996,-6.172914|35.18660199999999,-6.165914
35.179601999999996,-6.165914|35.18660199999999,-6.158914
35.179601999999996,-6.158914|35.18660199999999,-6.1519140000000005
35.179601999999996,-6.1519140000000005|35.18660199999999,-6.144914000000001
35.179601999999996,-6.144914000000001|35.18660199999999,-6.137914000000001
35.18660199999999,-6.172914|35.19360199999999,-6.165914
35.18660199999999,-6.165914|35.19360199999999,-6.158914
35.18660199999999,-6.158914|35.19360199999999,-6.1519140000000005
35.18660199999999,-6.1519140000000005|35.19360199999999,-6.144914000000001
35.18660199999999,-6.144914000000001|35.19360199999999,-6.137914000000001
35.19360199999999,-6.165914|35.20060199999999,-6.158914
35.19360199999999,-6.158914|35.20060199999999,-6.1519140000000005
35.19360199999999,-6.1519140000000005|35.20060199999999,-6.144914000000001
35.19360199999999,-6.144914000000001|35.20060199999999,-6.137914000000001
35.19360199999999,-6.137914000000001|35.20060199999999,-6.1309140000000015
35.20060199999999,-6.144914000000001|35.20760199999999,-6.137914000000001
35.20060199999999,-6.137914000000001|35.20760199999999,-6.1309140000000015
35.692571,-5.354695|35.698571,-5.348695
35.692571,-5.348695|35.698571,-5.342695
35.692571,-5.342695|35.698571,-5.336695
35.698571,-5.354695|35.704571,-5.348695
35.698571,-5.348695|35.704571,-5.342695
30.915717,-6.938195000000001|30.925717000000002,-6.928195000000001
30.915717,-6.928195000000001|30.925717000000002,-6.918195000000002
30.915717,-6.918195000000002|30.925717000000002,-6.908195000000002
30.915717,-6.908195000000002|30.925717000000002,-6.898195000000002
30.915717,-6.898195000000002|30.925717000000002,-6.888195000000002
30.915717,-6.888195000000002|30.925717000000002,-6.8781950000000025
30.915717,-6.8781950000000025|30.925717000000002,-6.868195000000003
30.925717000000002,-6.988195|30.935717000000004,-6.978195
30.925717000000002,-6.978195|30.935717000000004,-6.968195000000001
30.925717000000002,-6.968195000000001|30.935717000000004,-6.958195000000001
30.925717000000002,-6.958195000000001|30.935717000000004,-6.948195000000001
30.925717000000002,-6.948195000000001|30.935717000000004,-6.938195000000001
30.925717000000002,-6.938195000000001|30.935717000000004,-6.928195000000001
30.925717000000002,-6.928195000000001|30.935717000000004,-6.918195000000002
30.925717000000002,-6.918195000000002|30.935717000000004,-6.908195000000002
30.925717000000002,-6.908195000000002|30.935717000000004,-6.898195000000002
30.925717000000002,-6.898195000000002|30.935717000000004,-6.888195000000002
30.925717000000002,-6.888195000000002|30.935717000000004,-6.8781950000000025
30.935717000000004,-6.988195|30.945717000000005,-6.978195
30.935717000000004,-6.978195|30.945717000000005,-6.968195000000001
30.935717000000004,-6.968195000000001|30.945717000000005,-6.958195000000001
30.935717000000004,-6.958195000000001|30.945717000000005,-6.948195000000001
30.935717000000004,-6.948195000000001|30.945717000000005,-6.938195000000001
30.935717000000004,-6.938195000000001|30.945717000000005,-6.928195000000001
30.935717000000004,-6.928195000000001|30.945717000000005,-6.918195000000002
30.935717000000004,-6.918195000000002|30.945717000000005,-6.908195000000002
30.945717000000005,-6.968195000000001|30.955717000000007,-6.958195000000001
30.945717000000005,-6.958195000000001|30.955717000000007,-6.948195000000001
30.451745,-9.653139|30.460745,-9.644139
30.451745,-9.644139|30.460745,-9.635138999999999
30.451745,-9.635138999999999|30.460745,-9.626138999999998
30.460745,-9.653139|30.469745,-9.644139
30.460745,-9.644139|30.469745,-9.635138999999999
30.420447,-9.650348999999999|30.429447,-9.641348999999998
30.420447,-9.641348999999998|30.429447,-9.632348999999998
30.420447,-9.632348999999998|30.429447,-9.623348999999997
30.420447,-9.623348999999997|30.429447,-9.614348999999997
30.429447,-9.650348999999999|30.438447,-9.641348999999998
30.429447,-9.641348999999998|30.438447,-9.632348999999998
30.438447,-9.659348999999999|30.447447,-9.650348999999999
30.438447,-9.650348999999999|30.447447,-9.641348999999998
30.447447,-9.668349|30.456447,-9.659348999999999
30.447447,-9.659348999999999|30.456447,-9.650348999999999
30.456447,-9.668349|30.465447,-9.659348999999999
30.465447,-9.668349|30.474447,-9.659348999999999
33.716225,-7.345098|33.726225,-7.335098
33.716225,-7.335098|33.726225,-7.3250980000000006
33.726225,-7.345098|33.736225,-7.335098
33.726225,-7.335098|33.736225,-7.3250980000000006
33.726225,-7.3250980000000006|33.736225,-7.315098000000001
33.726225,-7.315098000000001|33.736225,-7.305098000000001
33.736225,-7.3250980000000006|33.746224999999995,-7.315098000000001
33.736225,-7.315098000000001|33.746224999999995,-7.305098000000001
35.123357,-2.9299459999999993|35.130357,-2.922945999999999
35.130357,-2.9369459999999994|35.137356999999994,-2.9299459999999993
35.130357,-2.9299459999999993|35.137356999999994,-2.922945999999999
35.137356999999994,-2.9509459999999996|35.14435699999999,-2.9439459999999995
35.137356999999994,-2.9439459999999995|35.14435699999999,-2.9369459999999994
35.137356999999994,-2.9369459999999994|35.14435699999999,-2.9299459999999993
35.137356999999994,-2.9299459999999993|35.14435699999999,-2.922945999999999
35.137356999999994,-2.915945999999999|35.14435699999999,-2.908945999999999
35.137356999999994,-2.908945999999999|35.14435699999999,-2.901945999999999
35.14435699999999,-2.9509459999999996|35.15135699999999,-2.9439459999999995
35.14435699999999,-2.9439459999999995|35.15135699999999,-2.9369459999999994
35.14435699999999,-2.9369459999999994|35.15135699999999,-2.9299459999999993
